13 May 159.50 (SPY1318E159.5),5.80,0.0,6.11,6.21,0,745,13 May 159.50 (SPY1318Q159.5),0.03,-0.02,0.03,0.04,218,11081,
13 May 159.50 (SPY71318E159.5),0.0,0.0,4.20,7.40,0,0,13 May 159.50 (SPY71318Q159.5),0.05,-0.20,0.02,0.05,2,2,
13 May 159.50 (SPYJ1318E159.5),0.0,0.0,3.89,8.37,0,0,13 May 159.50 (SPYJ1318Q159.5),0.0,0.0,0.0,4.07,0,0,
13 May 160.00 (SPY1318E160),5.62,+0.33,5.64,5.70,8966,228005,13 May 160.00 (SPY1318Q160),0.05,-0.01,0.04,0.05,3759,121329,
13 May 160.00 (SPY71318E160),4.85,+0.39,4.85,6.20,31,2779,13 May 160.00 (SPY71318Q160),0.09,0.0,0.03,0.05,0,422,
13 May 160.00 (SPYJ1318E160),0.0,0.0,3.39,7.88,0,0,13 May 160.00 (SPYJ1318Q160),0.0,0.0,0.0,4.04,0,0,
13 May 160.50 (SPY1318E160.5),5.00,+0.25,5.15,5.20,1,861,13 May 160.50 (SPY1318Q160.5),0.06,0.0,0.04,0.05,2561,7765,
13 May 160.50 (SPY71318E160.5),0.0,0.0,4.35,6.60,0,0,13 May 160.50 (SPY71318Q160.5),0.0,0.0,0.03,0.06,0,0,
13 May 160.50 (SPYJ1318E160.5),2.77,0.0,2.88,7.27,0,0,13 May 160.50 (SPYJ1318Q160.5),0.0,0.0,0.0,4.00,0,0,
13 May 161.00 (SPY1318E161),4.67,+0.41,4.67,4.72,3584,98401,13 May 161.00 (SPY1318Q161),0.05,-0.03,0.05,0.06,4607,91766,
13 May 161.00 (SPY71318E161),2.51,0.0,3.85,5.50,0,1216,13 May 161.00 (SPY71318Q161),0.25,0.0,0.04,0.07,0,396,
13 May 161.00 (SPYJ1318E161),0.0,0.0,2.41,7.01,0,0,13 May 161.00 (SPYJ1318Q161),0.0,0.0,0.0,3.95,0,0,
13 May 161.50 (SPY1318E161.5),4.09,+0.30,4.18,4.23,127,2438,13 May 161.50 (SPY1318Q161.5),0.08,-0.01,0.06,0.07,1828,13766,
13 May 161.50 (SPY71318E161.5),1.71,0.0,3.65,4.30,0,338,13 May 161.50 (SPY71318Q161.5),0.18,0.0,0.06,0.08,0,25,
13 May 161.50 (SPYJ1318E161.5),0.0,0.0,1.77,6.37,0,0,13 May 161.50 (SPYJ1318Q161.5),0.0,0.0,0.0,3.92,0,0,
13 May 162.00 (SPY1318E162),3.74,+0.35,3.70,3.75,872,118061,13 May 162.00 (SPY1318Q162),0.08,-0.04,0.08,0.09,18420,70123,
13 May 162.00 (SPY71318E162),3.20,0.0,2.94,3.80,0,616,13 May 162.00 (SPY71318Q162),0.25,0.0,0.07,0.10,0,129,
13 May 162.00 (SPYJ1318E162),0.0,0.0,1.45,6.05,0,0,13 May 162.00 (SPYJ1318Q162),0.0,0.0,0.0,3.90,0,0,
13 May 162.50 (SPY1318E162.5),3.25,+0.40,3.23,3.28,129,11540,13 May 162.50 (SPY1318Q162.5),0.12,-0.03,0.11,0.12,3022,39028,
13 May 162.50 (SPY71318E162.5),1.46,0.0,3.08,3.35,0,10,13 May 162.50 (SPY71318Q162.5),0.48,0.0,0.11,0.12,0,31,
13 May 162.50 (SPYJ1318E162.5),0.0,0.0,0.98,5.35,0,0,13 May 162.50 (SPYJ1318Q162.5),0.0,0.0,0.0,3.86,0,0,
13 May 163.00 (SPY1318E163),2.78,+0.30,2.77,2.81,4918,132585,13 May 163.00 (SPY1318Q163),0.15,-0.06,0.15,0.16,48188,291628,
13 May 163.00 (SPY71318E163),2.48,+0.21,2.60,2.83,9,1017,13 May 163.00 (SPY71318Q163),0.26,0.0,0.13,0.16,0,516,
13 May 163.00 (SPYJ1318E163),1.07,0.0,0.50,5.10,0,10,13 May 163.00 (SPYJ1318Q163),0.0,0.0,0.0,3.79,0,0,
13 May 163.50 (SPY1318E163.5),2.27,+0.21,2.31,2.35,1621,20500,13 May 163.50 (SPY1318Q163.5),0.20,-0.06,0.18,0.20,7792,25924,
13 May 163.50 (SPY71318E163.5),1.89,0.0,1.70,2.35,0,105,13 May 163.50 (SPY71318Q163.5),0.33,0.0,0.18,0.20,0,61,
13 May 163.50 (SPYJ1318E163.5),0.78,0.0,0.04,4.64,0,7,13 May 163.50 (SPYJ1318Q163.5),0.0,0.0,0.0,3.63,0,0,
13 May 164.00 (SPY1318E164),1.88,+0.26,1.87,1.91,14673,76464,13 May 164.00 (SPY1318Q164),0.26,-0.09,0.25,0.26,11406,35695,
13 May 164.00 (SPY71318E164),1.79,+0.49,1.87,1.91,11,423,13 May 164.00 (SPY71318Q164),0.26,-0.19,0.24,0.26,90,2407,
13 May 164.00 (SPYJ1318E164),0.53,0.0,0.0,4.60,0,10,13 May 164.00 (SPYJ1318Q164),0.0,0.0,0.0,3.63,0,0,
13 May 164.50 (SPY1318E164.5),1.49,+0.25,1.47,1.49,5436,25960,13 May 164.50 (SPY1318Q164.5),0.34,-0.14,0.34,0.35,9057,32639,
13 May 164.50 (SPY71318E164.5),1.45,+0.42,1.46,1.50,190,30,13 May 164.50 (SPY71318Q164.5),0.47,-0.19,0.34,0.35,6,66,
13 May 164.50 (SPYJ1318E164.5),0.0,0.0,0.0,4.59,0,0,13 May 164.50 (SPYJ1318Q164.5),0.85,0.0,0.0,3.65,0,10,
13 May 165.00 (SPY1318E165),1.11,+0.17,1.10,1.12,27017,116978,13 May 165.00 (SPY1318Q165),0.46,-0.19,0.47,0.48,50950,31816,
13 May 165.00 (SPY71318E165),0.82,+0.16,1.09,1.12,29,1126,13 May 165.00 (SPY71318Q165),0.48,-0.20,0.46,0.48,72,1118,
13 May 165.00 (SPYJ1318E165),0.0,0.0,0.0,4.59,0,0,13 May 165.00 (SPYJ1318Q165),1.10,0.0,0.0,3.93,0,10,
13 May 165.50 (SPY1318E165.5),0.78,+0.15,0.78,0.79,13182,25973,13 May 165.50 (SPY1318Q165.5),0.64,-0.21,0.64,0.65,8731,5785,
13 May 165.50 (SPY71318E165.5),0.59,0.0,0.77,0.79,0,11,13 May 165.50 (SPY71318Q165.5),0.93,0.0,0.64,0.65,4,0,
13 May 165.50 (SPYJ1318E165.5),0.0,0.0,0.0,4.15,0,0,13 May 165.50 (SPYJ1318Q165.5),0.0,0.0,0.0,4.59,0,0,
13 May 166.00 (SPY1318E166),0.53,+0.10,0.51,0.52,21395,84581,13 May 166.00 (SPY1318Q166),0.90,-0.27,0.87,0.89,3414,6178,
13 May 166.00 (SPY71318E166),0.40,0.0,0.51,0.53,0,301,13 May 166.00 (SPY71318Q166),1.20,0.0,0.87,0.89,12,0,
13 May 166.00 (SPYJ1318E166),0.0,0.0,0.0,3.65,0,0,13 May 166.00 (SPYJ1318Q166),0.0,0.0,0.0,4.59,0,0,
13 May 166.50 (SPY1318E166.5),0.32,+0.05,0.32,0.33,13030,16946,13 May 166.50 (SPY1318Q166.5),1.18,-0.40,1.17,1.19,2099,864,
13 May 166.50 (SPYJ1318E166.5),0.0,0.0,0.0,3.53,0,0,13 May 166.50 (SPYJ1318Q166.5),0.0,0.0,0.0,4.59,0,0,
13 May 167.00 (SPY1318E167),0.19,+0.04,0.18,0.19,4793,31681,13 May 167.00 (SPY1318Q167),1.58,-0.32,1.53,1.60,363,2830,
13 May 167.00 (SPY71318E167),0.11,0.0,0.19,0.20,24,39,13 May 167.00 (SPY71318Q167),0.0,0.0,1.49,1.63,0,0,
13 May 167.00 (SPYJ1318E167),0.0,0.0,0.0,3.58,0,0,13 May 167.00 (SPYJ1318Q167),0.0,0.0,0.0,4.60,0,0,
13 May 167.50 (SPY1318E167.5),0.11,+0.02,0.11,0.12,469,3034,13 May 167.50 (SPY1318Q167.5),2.13,-0.22,1.95,2.02,136,350,
13 May 167.50 (SPY71318E167.5),0.0,0.0,0.10,0.13,0,0,13 May 167.50 (SPY71318Q167.5),0.0,0.0,1.91,2.05,0,0,
13 May 167.50 (SPYJ1318E167.5),0.0,0.0,0.0,3.71,0,0,13 May 167.50 (SPYJ1318Q167.5),0.0,0.0,0.0,4.60,0,0,
13 May 168.00 (SPY71318E168),0.10,0.0,0.05,0.09,0,4,13 May 168.00 (SPY71318Q168),0.0,0.0,2.30,2.61,0,0,
13 May 168.00 (SPYJ1318E168),0.0,0.0,0.0,3.89,0,0,13 May 168.00 (SPYJ1318Q168),0.0,0.0,0.10,4.70,0,0,
13 May 169.00 (SPY1318E169),0.02,0.0,0.02,0.04,327,21221,13 May 169.00 (SPY1318Q169),3.79,-0.46,3.37,3.44,68,154,
13 May 169.00 (SPY71318E169),0.0,0.0,0.02,0.05,0,0,13 May 169.00 (SPY71318Q169),0.0,0.0,2.42,5.50,0,0,
13 May 169.00 (SPYJ1318E169),0.0,0.0,0.0,4.06,0,0,13 May 169.00 (SPYJ1318Q169),0.0,0.0,1.06,5.66,0,0,
13 May 170.00 (SPY71318E170),0.02,0.0,0.0,0.03,0,20,13 May 170.00 (SPY71318Q170),0.0,0.0,3.10,6.50,0,0,
13 May 170.00 (SPYJ1318E170),0.0,0.0,0.0,4.12,0,0,13 May 170.00 (SPYJ1318Q170),0.0,0.0,2.05,6.65,0,0,
13 May 171.00 (SPY71318E171),0.0,0.0,0.0,0.02,0,0,13 May 171.00 (SPY71318Q171),0.0,0.0,4.05,7.48,0,0,
13 May 171.00 (SPYJ1318E171),0.0,0.0,0.0,4.11,0,0,13 May 171.00 (SPYJ1318Q171),0.0,0.0,3.18,7.65,0,0,
13 May 172.00 (SPY1318E172),0.01,0.0,0.0,0.01,0,9129,13 May 172.00 (SPY1318Q172),18.06,0.0,6.31,6.44,0,5,
13 May 172.00 (SPY71318E172),0.02,0.0,0.0,0.02,0,209,13 May 172.00 (SPY71318Q172),0.0,0.0,4.87,8.50,0,0,
13 May 172.00 (SPYJ1318E172),0.0,0.0,0.0,4.10,0,0,13 May 172.00 (SPYJ1318Q172),0.0,0.0,4.18,8.64,0,0,
13 May 173.00 (SPY1318E173),0.01,0.0,0.0,0.01,0,5838,13 May 173.00 (SPY1318Q173),9.70,0.0,7.31,7.43,0,13,
13 May 173.00 (SPY71318E173),0.0,0.0,0.0,0.02,0,0,13 May 173.00 (SPY71318Q173),0.0,0.0,5.87,9.49,0,0,
13 May 173.00 (SPYJ1318E173),0.0,0.0,0.0,4.10,0,0,13 May 173.00 (SPYJ1318Q173),0.0,0.0,5.06,9.66,0,0,
13 May 174.00 (SPY1318E174),0.01,0.0,0.0,0.01,0,5481,13 May 174.00 (SPY1318Q174),15.13,0.0,8.32,8.43,0,12,
13 May 174.00 (SPY71318E174),0.0,0.0,0.0,0.02,0,0,13 May 174.00 (SPY71318Q174),0.0,0.0,7.04,10.50,0,0,
13 May 174.00 (SPYJ1318E174),0.0,0.0,0.0,4.10,0,0,13 May 174.00 (SPYJ1318Q174),0.0,0.0,6.06,10.66,0,0,
13 May 146.00 (SPY1324E146),17.07,0.0,19.59,19.75,0,4,13 May 146.00 (SPY1324Q146),0.02,0.0,0.01,0.02,71,3574,
13 May 147.00 (SPY1324E147),16.69,0.0,18.59,18.75,0,40,13 May 147.00 (SPY1324Q147),0.03,0.0,0.01,0.02,0,3028,
13 May 147.00 (SPY71324E147),0.0,0.0,16.50,20.19,0,0,13 May 147.00 (SPY71324Q147),0.0,0.0,0.0,0.03,0,0,
13 May 147.00 (SPYJ1324E147),0.0,0.0,16.37,20.85,0,0,13 May 147.00 (SPYJ1324Q147),0.0,0.0,0.0,3.74,0,0,
13 May 148.00 (SPY1324E148),13.74,0.0,17.60,17.75,0,124,13 May 148.00 (SPY1324Q148),0.02,0.0,0.02,0.03,0,1951,
13 May 148.00 (SPY71324E148),0.0,0.0,15.50,19.20,0,0,13 May 148.00 (SPY71324Q148),0.0,0.0,0.0,0.04,0,0,
13 May 148.00 (SPYJ1324E148),0.0,0.0,15.38,19.74,0,0,13 May 148.00 (SPYJ1324Q148),0.0,0.0,0.0,3.74,0,0,
13 May 149.00 (SPY1324E149),9.72,0.0,16.60,16.75,0,40,13 May 149.00 (SPY1324Q149),0.02,0.0,0.02,0.03,0,3231,
13 May 149.00 (SPY71324E149),0.0,0.0,14.50,18.20,0,0,13 May 149.00 (SPY71324Q149),0.0,0.0,0.01,0.04,0,0,
13 May 149.00 (SPYJ1324E149),0.0,0.0,14.38,18.74,0,0,13 May 149.00 (SPYJ1324Q149),0.0,0.0,0.0,3.74,0,0,
13 May 150.00 (SPY1324E150),13.20,0.0,15.60,15.76,0,112,13 May 150.00 (SPY1324Q150),0.03,-0.01,0.02,0.03,85,42890,
13 May 150.00 (SPY71324E150),0.0,0.0,13.51,17.20,0,0,13 May 150.00 (SPY71324Q150),0.07,0.0,0.02,0.04,0,9,
13 May 150.00 (SPYJ1324E150),0.0,0.0,13.38,17.74,0,0,13 May 150.00 (SPYJ1324Q150),0.0,0.0,0.0,3.75,0,0,
13 May 151.00 (SPY1324E151),14.15,0.0,14.60,14.76,0,325,13 May 151.00 (SPY1324Q151),0.04,0.0,0.03,0.04,0,4239,
13 May 151.00 (SPY71324E151),5.64,0.0,12.46,16.21,0,1,13 May 151.00 (SPY71324Q151),0.08,0.0,0.02,0.04,0,1205,
13 May 151.00 (SPYJ1324E151),0.0,0.0,12.39,16.87,0,0,13 May 151.00 (SPYJ1324Q151),0.0,0.0,0.0,3.76,0,0,
13 May 152.00 (SPY1324E152),11.11,0.0,13.61,13.77,0,384,13 May 152.00 (SPY1324Q152),0.04,-0.01,0.03,0.04,200,6951,
13 May 152.00 (SPY71324E152),0.0,0.0,11.51,15.21,0,0,13 May 152.00 (SPY71324Q152),0.09,0.0,0.03,0.05,0,24,
13 May 152.00 (SPYJ1324E152),0.0,0.0,11.39,15.87,0,0,13 May 152.00 (SPYJ1324Q152),0.0,0.0,0.0,3.76,0,0,
13 May 153.00 (SPY1324E153),9.93,0.0,12.62,12.77,0,487,13 May 153.00 (SPY1324Q153),0.04,0.0,0.04,0.05,0,5723,
13 May 153.00 (SPY71324E153),4.09,0.0,10.52,14.21,0,10,13 May 153.00 (SPY71324Q153),0.10,0.0,0.03,0.06,0,90,
13 May 153.00 (SPYJ1324E153),0.0,0.0,10.40,15.00,0,0,13 May 153.00 (SPYJ1324Q153),0.0,0.0,0.0,3.77,0,0,
13 May 154.00 (SPY1324E154),10.28,0.0,11.62,11.78,0,1258,13 May 154.00 (SPY1324Q154),0.05,0.0,0.05,0.06,20,4942,
13 May 154.00 (SPY71324E154),8.07,0.0,9.69,13.26,0,2,13 May 154.00 (SPY71324Q154),0.82,0.0,0.04,0.06,0,50,
13 May 154.00 (SPYJ1324E154),0.0,0.0,9.40,14.00,0,0,13 May 154.00 (SPYJ1324Q154),0.0,0.0,0.0,3.78,0,0,
13 May 155.00 (SPY1324E155),9.93,0.0,10.64,10.79,0,2174,13 May 155.00 (SPY1324Q155),0.06,0.0,0.06,0.07,0,6515,
13 May 155.00 (SPY71324E155),5.00,0.0,8.51,12.10,0,5,13 May 155.00 (SPY71324Q155),0.31,0.0,0.05,0.07,0,108,
13 May 155.00 (SPYJ1324E155),0.0,0.0,8.41,12.78,0,0,13 May 155.00 (SPYJ1324Q155),0.0,0.0,0.0,3.80,0,0,
13 May 156.00 (SPY1324E156),9.12,0.0,9.65,9.75,0,2741,13 May 156.00 (SPY1324Q156),0.07,-0.01,0.07,0.08,836,11288,
13 May 156.00 (SPY71324E156),8.08,0.0,7.98,11.05,0,27,13 May 156.00 (SPY71324Q156),0.14,0.0,0.06,0.08,0,80,
13 May 156.00 (SPYJ1324E156),0.0,0.0,7.42,11.79,0,0,13 May 156.00 (SPYJ1324Q156),0.0,0.0,0.0,3.82,0,0,
13 May 157.00 (SPY1324E157),8.67,+0.66,8.66,8.76,29,3050,13 May 157.00 (SPY1324Q157),0.09,-0.01,0.08,0.09,1260,18671,
13 May 157.00 (SPY71324E157),3.00,0.0,7.06,10.05,0,13,13 May 157.00 (SPY71324Q157),0.24,0.0,0.07,0.10,0,24,
13 May 157.00 (SPYJ1324E157),0.0,0.0,6.43,10.93,0,0,13 May 157.00 (SPYJ1324Q157),0.0,0.0,0.0,3.85,0,0,
13 May 158.00 (SPY1324E158),7.34,0.0,7.68,7.78,0,4194,13 May 158.00 (SPY1324Q158),0.11,-0.02,0.10,0.11,231,13016,
13 May 158.00 (SPY71324E158),3.91,0.0,6.01,9.10,0,10,13 May 158.00 (SPY71324Q158),0.32,0.0,0.09,0.12,0,213,
13 May 158.00 (SPYJ1324E158),0.0,0.0,5.25,9.85,0,0,13 May 158.00 (SPYJ1324Q158),0.0,0.0,0.0,3.89,0,0,
13 May 159.00 (SPY1324E159),6.74,+0.37,6.71,6.80,97,6677,13 May 159.00 (SPY1324Q159),0.14,-0.02,0.13,0.14,1797,27916,
